 398334263,"00010M00:00:48.714","00010 00:35:24",   1.00                                                                                              
 398334263,"00010M00:00:48.714","00010 00:35:24",  47.96, 165.50,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334264,"00010M00:00:49.688","00010 00:35:25",  47.95, 165.50,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334265,"00010M00:00:50.661","00010 00:35:26",  47.95, 165.50,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334266,"00010M00:00:51.634","00010 00:35:27",  47.94, 165.49,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334267,"00010M00:00:52.607","00010 00:35:28",  47.93, 165.49,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334268,"00010M00:00:53.581","00010 00:35:29",  47.93, 165.49,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334269,"00010M00:00:54.554","00010 00:35:30",  47.92, 165.48,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334270,"00010M00:00:55.527","00010 00:35:31",  47.91, 165.48,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334271,"00010M00:00:56.500","00010 00:35:32",  47.91, 165.47,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334272,"00010M00:00:57.474","00010 00:35:33",  47.90, 165.47,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334273,"00010M00:00:58.447","00010 00:35:34",  47.89, 165.47,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334274,"00010M00:00:59.420","00010 00:35:35",  47.88, 165.46,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334275,"00010M00:01:00.393","00010 00:35:36",  47.88, 165.46,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334276,"00010M00:01:01.367","00010 00:35:37",  47.87, 165.46,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334277,"00010M00:01:02.340","00010 00:35:38",  47.86, 165.45,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334278,"00010M00:01:03.313","00010 00:35:39",  47.86, 165.45,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334279,"00010M00:01:04.286","00010 00:35:40",  47.85, 165.45,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334280,"00010M00:01:05.260","00010 00:35:41",  47.84, 165.44,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334281,"00010M00:01:06.233","00010 00:35:42",  47.84, 165.44,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334282,"00010M00:01:07.206","00010 00:35:43",  47.83, 165.43,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
 398334283,"00010M00:01:08.179","00010 00:35:44",  47.82, 165.43,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  46.00,"1","0"
