 398334263,"00010M00:00:48.714","00010 00:35:24",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.18,"101XX111", 206.74,"001XX110", 207.18,"   101XX1101",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","1L", 759.35,   2.90,"      01"
 398334264,"00010M00:00:49.688","00010 00:35:25",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.24,"101XX111", 206.61,"001XX110", 207.24,"   101XX1101",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.56, 206.63,  10.00,   77.67,   NULL,"     0X1","1L", 759.32,   2.90,"      01"
 398334265,"00010M00:00:50.661","00010 00:35:26",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.29,"101XX111", 206.50,"001XX110", 207.29,"   101XX1101",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.55, 206.65,  10.00,   77.92,   NULL,"     0X1","1L", 759.17,   2.90,"      01"
 398334266,"00010M00:00:51.634","00010 00:35:27",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.33,"101XX111", 206.42,"001XX110", 207.33,"   101XX1101",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.56, 206.67,  10.00,   78.20,   NULL,"     0X1","1L", 759.42,   2.90,"      01"
 398334267,"00010M00:00:52.607","00010 00:35:28",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.37,"101XX111", 206.36,"001XX110", 207.37,"   101XX1101",   0.01,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.54, 206.70,  10.00,   78.34,   NULL,"     0X1","1L", 759.24,   2.90,"      01"
 398334268,"00010M00:00:53.581","00010 00:35:29",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.40,"001XX111", 206.32,"001XX110", 207.40,"   001XX1101",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.50, 206.72,  10.00,   78.34,   NULL,"     0X1","1L", 759.28,   2.90,"      01"
 398334269,"00010M00:00:54.554","00010 00:35:30",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.43,"001XX111", 206.30,"001XX110", 207.43,"   001XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.45, 206.74,  10.00,   78.33,   NULL,"     0X1","1L", 759.31,   2.90,"      01"
 398334270,"00010M00:00:55.527","00010 00:35:31",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.45,"001XX111", 206.61,"001XX110", 207.45,"   001XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.63, 206.76,  10.00,   79.64,   NULL,"     0X1","1L", 759.20,   2.90,"      01"
 398334271,"00010M00:00:56.500","00010 00:35:32",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.47,"001XX111", 206.59,"001XX110", 207.47,"   001XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.45, 206.79,  10.00,   78.82,   NULL,"     0X1","1L", 759.35,   2.90,"      01"
 398334272,"00010M00:00:57.474","00010 00:35:33",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK", 207.48,"001XX111", 206.58,"001XX110", 207.48,"   001XX1111",   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"   01011",  13.39, 206.81,  10.00,   78.70,   NULL,"     0X1","1L", 759.31,   2.90,"      01"
