 397584157,"00001M13:13:25.556","00001 13:46:42",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   6.10,   1.16,   1.26,  42.14,   0.48,   9.01, 274.28,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584158,"00001M13:13:26.530","00001 13:46:43",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   5.88,   1.50,   1.36,  43.29,   0.54,   8.92, 274.27,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584159,"00001M13:13:27.503","00001 13:46:44",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   6.00,   1.27,   1.35,  42.97,   0.51,   9.11, 274.27,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584160,"00001M13:13:28.476","00001 13:46:45",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   5.61,   1.41,   1.29,  43.84,   0.46,   8.80, 274.32,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584161,"00001M13:13:29.449","00001 13:46:46",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   6.06,   1.24,   1.19,  42.57,   0.47,   9.01, 274.32,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584162,"00001M13:13:30.423","00001 13:46:47",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   6.21,   1.28,   1.13,  43.44,   0.53,   8.98, 274.24,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584163,"00001M13:13:31.396","00001 13:46:48",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   5.75,   1.50,   1.23,  43.44,   0.48,   8.92, 274.27,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584164,"00001M13:13:32.369","00001 13:46:49",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   6.20,   1.45,   1.25,  42.57,   0.44,   9.12, 274.33,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584165,"00001M13:13:33.342","00001 13:46:50",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   6.31,   1.37,   1.23,  43.29,   0.46,   8.76, 274.36,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
 397584166,"00001M13:13:34.316","00001 13:46:51",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,     UNK,     UNK,     UNK, UNK, UNK, UNK,    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,   6.26,   1.19,   1.24,  42.85,   0.53,   8.97, 274.38,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK,      UNK
