         0.0000,       858.4553,       241.9960,       236.3801,       236.8866,       257.3800
         2.0000,       858.4460,       239.2719,       236.4702,       237.4673,       257.3600
         4.0000,       858.4512,       239.5623,       236.2799,       237.0568,       257.3600
         6.0000,       858.4507,       238.0201,       235.5288,       236.0256,       257.3600
         8.0000,       858.5034,       236.4579,       234.9480,       235.7353,       257.3500
        10.0000,       858.4559,       236.7783,       235.3786,       236.1458,       257.3600
        12.0000,       858.4910,       239.3320,       235.6690,       236.4161,       257.3700
        14.0000,       858.4697,       238.1903,       236.1898,       237.2471,       257.3800
        16.0000,       858.4639,       238.1803,       235.7992,       236.7265,       257.3800
        18.0000,       858.4783,       236.5080,       235.5789,       236.5262,       257.3700
        20.0000,       858.4936,       240.7741,       236.6805,       237.4373,       257.4000
        22.0000,       858.4885,       243.0578,       236.8207,       236.9968,       257.4100
        24.0000,       858.5753,       238.5308,       236.2499,       236.8766,       257.4000
        26.0000,       858.5492,       239.5322,       235.8092,       236.6363,       257.4100
        28.0000,       858.5369,       239.2618,       235.5188,       236.6463,       257.4200
        30.0000,       858.5460,       239.2618,       235.8192,       236.3760,       257.4100
        32.0000,       858.5502,       241.9259,       236.7707,       236.8666,       257.4300
        34.0000,       858.5732,       240.0330,       235.9494,       236.7865,       257.4200
        36.0000,       858.5566,       240.1432,       236.0496,       237.0268,       257.4300
        38.0000,       858.6069,       242.7172,       236.8808,       237.5274,       257.4500
        40.0000,       858.5643,       240.2934,       236.4202,       237.0669,       257.4300
        42.0000,       858.5858,       240.1131,       235.8493,       236.5963,       257.4400
        44.0000,       858.6119,       238.7912,       236.2599,       236.4661,       257.4400
        46.0000,       858.6158,       236.8784,       235.1483,       236.0456,       257.4300
        48.0000,       858.6041,       237.3992,       236.5103,       236.8866,       257.4500
        50.0000,       858.6586,       238.0801,       235.7992,       236.9567,       257.4500
        52.0000,       858.6351,       236.3878,       235.2584,       236.1257,       257.4400
        54.0000,       858.6519,       238.7511,       235.9094,       236.7064,       257.4600
        56.0000,       858.6573,       239.2318,       235.6190,       236.5863,       257.4600
        58.0000,       858.6666,       237.8298,       235.5188,       237.0068,       257.4600
        60.0000,       858.6555,       240.4737,       235.7992,       237.0068,       257.4900
        62.0000,       858.6453,       239.9429,       236.1397,       237.2170,       257.4800
        64.0000,       858.6689,       241.7356,       237.0511,       237.7177,       257.5000
        66.0000,       858.6255,       241.3350,       236.5003,       237.5675,       257.5000
        68.0000,       858.6475,       240.6840,       236.0496,       237.0669,       257.5000
        70.0000,       858.6787,       242.4969,       236.6004,       236.9968,       257.5100
        72.0000,       858.6853,       239.9228,       235.9294,       236.8666,       257.5200
        74.0000,       858.7042,       239.9629,       235.8693,       236.5562,       257.5200
        76.0000,       858.7422,       240.3635,       235.4487,       236.2859,       257.5100
        78.0000,       858.6958,       239.3820,       235.5589,       235.8354,       257.5300
        80.0000,       858.7267,       238.9113,       235.6590,       236.3460,       257.5200
        82.0000,       858.7616,       236.7182,       235.1883,       235.9355,       257.5000
        84.0000,       858.7191,       237.7597,       235.6490,       236.2459,       257.5100
        86.0000,       858.6924,       237.8999,       234.9580,       235.7553,       257.5300
        88.0000,       858.7401,       236.4679,       235.1983,       235.8454,       257.5200
        90.0000,       858.7229,       236.5981,       235.1983,       236.0056,       257.5300
        92.0000,       858.7741,       239.4321,       235.7792,       236.8266,       257.5300
        94.0000,       858.7508,       240.6940,       236.1898,       236.8566,       257.5600
        96.0000,       858.7419,       240.6940,       236.1698,       236.5863,       257.5600
