 398291726,"00009M12:30:49.438","00009 13:05:21",    UNK,    UNK,    UNK,"     UNK", 277.80,   4.94,   0.55,"    0111", 255.85,"101XX001", 251.34,"101XX111", 251.34,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 253.82,   2.00,  343.16,   NULL,"     0X1","2H", 714.60,   2.70,"      11"
 398291727,"00009M12:30:50.411","00009 13:05:22",    UNK,    UNK,    UNK,"     UNK", 276.77,   4.95,   0.54,"    0111", 255.87,"101XX001", 251.38,"101XX111", 251.38,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.25, 253.83,   2.00,  379.89,   NULL,"     0X1","2H", 714.62,   2.70,"      11"
 398291728,"00009M12:30:51.384","00009 13:05:22",    UNK,    UNK,    UNK,"     UNK", 278.55,   4.95,   0.55,"    0111", 255.91,"101XX001", 251.45,"101XX111", 251.45,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 253.85,   2.00,  327.10,   NULL,"     0X1","2H", 714.63,   2.70,"      11"
 398291729,"00009M12:30:52.357","00009 13:05:23",    UNK,    UNK,    UNK,"     UNK", 276.30,   4.95,   0.54,"    0111", 255.98,"101XX001", 251.52,"101XX111", 251.52,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.24, 253.85,   2.00,  370.67,   NULL,"     0X1","2H", 714.64,   2.70,"      11"
 398291730,"00009M12:30:53.331","00009 13:05:24",    UNK,    UNK,    UNK,"     UNK", 277.97,   4.96,   0.55,"    0111", 256.08,"101XX001", 251.60,"101XX111", 251.60,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.23, 253.88,   2.00,  359.42,   NULL,"     0X1","2H", 714.71,   2.70,"      11"
 398291731,"00009M12:30:54.304","00009 13:05:25",    UNK,    UNK,    UNK,"     UNK", 277.91,   4.96,   0.55,"    0111", 256.20,"101XX001", 251.67,"101XX111", 251.67,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 253.90,   2.00,  334.90,   NULL,"     0X1","2H", 714.64,   2.70,"      11"
 398291732,"00009M12:30:55.277","00009 13:05:26",    UNK,    UNK,    UNK,"     UNK", 276.93,   4.95,   0.55,"    0111", 256.33,"101XX001", 251.74,"101XX111", 251.74,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.23, 253.91,   2.00,  359.93,   NULL,"     0X1","2H", 714.59,   2.70,"      11"
 398291733,"00009M12:30:56.250","00009 13:05:27",    UNK,    UNK,    UNK,"     UNK", 278.20,   4.95,   0.55,"    0111", 256.48,"101XX001", 251.79,"101XX111", 251.79,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.23, 253.93,   2.00,  359.73,   NULL,"     0X1","2H", 714.54,   2.70,"      11"
 398291734,"00009M12:30:57.224","00009 13:05:28",    UNK,    UNK,    UNK,"     UNK", 276.96,   4.95,   0.55,"    0111", 256.63,"101XX001", 251.83,"101XX111", 251.83,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 253.95,   2.00,  335.78,   NULL,"     0X1","2H", 714.55,   2.70,"      11"
 398291735,"00009M12:30:58.197","00009 13:05:29",    UNK,    UNK,    UNK,"     UNK", 278.59,   4.96,   0.56,"    0111", 256.79,"101XX001", 251.86,"101XX111", 251.86,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.23, 253.96,   2.00,  359.01,   NULL,"     0X1","2H", 714.49,   2.70,"      11"
