 398291724,"00009M12:30:47.491","00009 13:05:19",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 275.91, 308.95, 349.42,   4.94,    UNK,    UNK,   0.54,    UNK,    UNK,"  101111", 262.51, 261.72, 258.76,   0.14,   0.15,   0.19,"   101XX0001", 253.64, 254.49, 252.05,   0.33,   0.29,   0.50,"   101XX1111",   8.49,   3.75,   2.15,  16.06,   1.45,   6.73,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.24,"01011011",   0.22,   0.17,   0.29,   2.00,   2.00,   2.00, 253.78,"    0XXX","2H",    UNK,    UNK,    UNK, 713.90,    UNK,   3.30,"     101"
 398291725,"00009M12:30:48.464","00009 13:05:20",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 277.29, 306.45, 358.81,   4.95,    UNK,    UNK,   0.55,    UNK,    UNK,"  101111", 262.42, 261.65, 258.73,   0.14,   0.15,   0.19,"   101XX0001", 253.61, 254.45, 252.05,   0.33,   0.29,   0.50,"   101XX1111",   8.49,   3.75,   2.16,  16.08,   1.45,   6.73,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.35,"01011011",   0.23,   0.19,   0.31,   2.00,   2.00,   2.00, 253.79,"    0XXX","2H",    UNK,    UNK,    UNK, 713.90,    UNK,   3.30,"     101"
 398291726,"00009M12:30:49.438","00009 13:05:21",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 277.80, 302.40, 316.31,   4.94,    UNK,    UNK,   0.55,    UNK,    UNK,"  101111", 262.50, 261.74, 258.64,   0.14,   0.15,   0.19,"   101XX0001", 253.53, 254.47, 252.10,   0.33,   0.29,   0.50,"   101XX1111",   8.48,   3.75,   2.15,  16.06,   1.45,   6.73,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.28,"01011011",   0.22,   0.16,   0.27,   2.00,   2.00,   2.00, 253.82,"    0XXX","2H",    UNK, 291.22,    UNK, 713.92,    UNK,   3.30,"     101"
 398291727,"00009M12:30:50.411","00009 13:05:22",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 276.77, 315.63, 326.57,   4.95,    UNK,    UNK,   0.54,    UNK,    UNK,"  101111", 262.45, 261.68, 258.71,   0.14,   0.15,   0.19,"   101XX0001", 253.61, 254.61, 252.11,   0.33,   0.29,   0.50,"   101XX1111",   8.49,   3.75,   2.15,  16.06,   1.45,   6.73,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.31,"01011011",   0.25,   0.19,   0.30,   2.00,   2.00,   2.00, 253.83,"    0XXX","2H",    UNK,    UNK,    UNK, 713.94,    UNK,   3.30,"     101"
 398291728,"00009M12:30:51.384","00009 13:05:22",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 278.55, 308.08, 322.83,   4.95,    UNK,    UNK,   0.55,    UNK,    UNK,"  101111", 262.45, 261.66, 258.83,   0.14,   0.15,   0.19,"   101XX0001", 253.64, 254.52, 252.07,   0.33,   0.29,   0.50,"   101XX1111",   8.50,   3.75,   2.16,  16.07,   1.45,   6.73,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.27,"01011011",   0.21,   0.16,   0.27,   2.00,   2.00,   2.00, 253.85,"    0XXX","2H",    UNK,    UNK,    UNK, 713.95,    UNK,   3.30,"     101"
 398291729,"00009M12:30:52.357","00009 13:05:23",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 276.30, 313.51, 361.78,   4.95,    UNK,    UNK,   0.54,    UNK,    UNK,"  101111", 262.35, 261.62, 258.78,   0.14,   0.15,   0.19,"   101XX0001", 253.67, 254.57, 252.17,   0.33,   0.29,   0.50,"   101XX1111",   8.49,   3.75,   2.16,  16.07,   1.45,   6.73,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.28,"01011011",   0.24,   0.18,   0.30,   2.00,   2.00,   2.00, 253.85,"    0XXX","2H",    UNK,    UNK,    UNK, 713.96,    UNK,   3.30,"     101"
 398291730,"00009M12:30:53.331","00009 13:05:24",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 277.97, 318.96, 306.71,   4.96,    UNK,    UNK,   0.55,    UNK,    UNK,"  101111", 262.42, 261.66, 258.89,   0.14,   0.15,   0.19,"   101XX0001", 253.54, 254.53, 252.16,   0.33,   0.29,   0.50,"   101XX1111",   8.49,   3.75,   2.16,  16.06,   1.45,   6.72,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.26,"01011011",   0.23,   0.17,   0.29,   2.00,   2.00,   2.00, 253.88,"    0XXX","2H",    UNK, 291.23,    UNK, 714.03,    UNK,   3.30,"     101"
 398291731,"00009M12:30:54.304","00009 13:05:25",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 277.91, 314.44, 317.05,   4.96,    UNK,    UNK,   0.55,    UNK,    UNK,"  101111", 262.42, 261.70, 258.98,   0.14,   0.15,   0.19,"   101XX0001", 253.70, 254.60, 252.32,   0.33,   0.29,   0.50,"   101XX1111",   8.50,   3.75,   2.16,  16.05,   1.45,   6.73,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.26,"01011011",   0.22,   0.17,   0.26,   2.00,   2.00,   2.00, 253.90,"    0XXX","2H",    UNK,    UNK,    UNK, 713.96,    UNK,   3.30,"     101"
 398291732,"00009M12:30:55.277","00009 13:05:26",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 276.93, 307.14, 354.34,   4.95,    UNK,    UNK,   0.55,    UNK,    UNK,"  101111", 262.44, 261.81, 259.03,   0.14,   0.15,   0.19,"   101XX0001", 253.61, 254.65, 252.27,   0.33,   0.29,   0.50,"   101XX1111",   8.49,   3.75,   2.16,  16.06,   1.45,   6.73,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.21,"01011011",   0.23,   0.17,   0.29,   2.00,   2.00,   2.00, 253.91,"    0XXX","2H",    UNK,    UNK,    UNK, 713.91,    UNK,   3.30,"     101"
 398291733,"00009M12:30:56.250","00009 13:05:27",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK",       UNK,       UNK,       UNK,       UNK,       UNK,       UNK,"     UNK", 278.20, 321.53, 367.60,   4.95,    UNK,    UNK,   0.55,    UNK,    UNK,"  101111", 262.42, 261.86, 259.14,   0.14,   0.15,   0.19,"   101XX0001", 253.66, 254.63, 252.50,   0.33,   0.29,   0.50,"   101XX1111",   8.49,   3.75,   2.15,  16.06,   1.45,   6.72,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00, 275.25,"01011011",   0.23,   0.17,   0.28,   2.00,   2.00,   2.00, 253.93,"    0XXX","2H",    UNK,    UNK, 714.55, 713.86,   2.70,   3.30,"     101"
