 398423027,"00011M00:00:38.572","00011 00:35:23",   1.00                                                                                              
 398423058,"00011M00:01:08.743","00011 00:35:53",  46.99, 165.48,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423059,"00011M00:01:09.717","00011 00:35:54",  46.99, 165.48,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423060,"00011M00:01:10.690","00011 00:35:55",  46.98, 165.48,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423061,"00011M00:01:11.663","00011 00:35:56",  46.97, 165.47,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423062,"00011M00:01:12.636","00011 00:35:57",  46.97, 165.47,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423063,"00011M00:01:13.610","00011 00:35:58",  46.96, 165.47,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423064,"00011M00:01:14.583","00011 00:35:59",  46.95, 165.46,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423065,"00011M00:01:15.556","00011 00:36:00",  46.95, 165.46,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423066,"00011M00:01:16.529","00011 00:36:01",  46.94, 165.45,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423067,"00011M00:01:17.503","00011 00:36:02",  46.93, 165.45,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423068,"00011M00:01:18.476","00011 00:36:03",  46.93, 165.45,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423069,"00011M00:01:19.449","00011 00:36:04",  46.92, 165.44,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423070,"00011M00:01:20.422","00011 00:36:05",  46.91, 165.44,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423071,"00011M00:01:21.396","00011 00:36:06",  46.91, 165.44,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423072,"00011M00:01:22.369","00011 00:36:07",  46.90, 165.43,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423073,"00011M00:01:23.342","00011 00:36:08",  46.89, 165.43,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423074,"00011M00:01:24.315","00011 00:36:09",  46.89, 165.43,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423075,"00011M00:01:25.289","00011 00:36:10",  46.88, 165.42,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423076,"00011M00:01:26.262","00011 00:36:11",  46.87, 165.42,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423077,"00011M00:01:27.235","00011 00:36:12",  46.87, 165.41,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423078,"00011M00:01:28.208","00011 00:36:13",  46.86, 165.41,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423079,"00011M00:01:29.182","00011 00:36:14",  46.85, 165.41,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423080,"00011M00:01:30.155","00011 00:36:15",  46.85, 165.40,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423081,"00011M00:01:31.128","00011 00:36:16",  46.84, 165.40,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423082,"00011M00:01:32.101","00011 00:36:17",  46.84, 165.40,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423083,"00011M00:01:33.075","00011 00:36:18",  46.83, 165.39,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423084,"00011M00:01:34.048","00011 00:36:19",  46.82, 165.39,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423085,"00011M00:01:35.021","00011 00:36:20",  46.82, 165.39,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423086,"00011M00:01:35.994","00011 00:36:21",  46.81, 165.38,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423102,"00011M00:01:51.566","00011 00:36:36",  46.71, 165.32,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
